OffenseTeam,total_plays,total_yards,avg_yards_per_play,rush_plays,pass_plays,touchdowns,penalties,rush_pct,pass_pct,yards_per_touchdown
ARI,1615,5943,3.679876160990712,466,583,42,130,0.2885448916408669,0.3609907120743034,141.5
ATL,1611,6088,3.7790192427063936,510,547,34,105,0.3165735567970205,0.33954065797641214,179.05882352941177
BAL,1611,6658,4.132836747361887,531,525,57,117,0.329608938547486,0.3258845437616387,116.80701754385964
BUF,1636,6634,4.055012224938875,499,606,55,103,0.3050122249388753,0.3704156479217604,120.61818181818182
CAR,1609,4910,3.0515848353014294,451,614,26,115,0.2802983219390926,0.38160348042262277,188.84615384615384
CHI,1607,5839,3.6334785314250158,530,529,41,103,0.3298070939639079,0.32918481642812697,142.41463414634146
CIN,1588,5764,3.629722921914358,372,645,42,97,0.23425692695214106,0.4061712846347607,137.23809523809524
CLE,1753,6321,3.6058185966913863,495,653,45,110,0.28237307472903594,0.3725042783799201,140.46666666666667
DAL,1631,6647,4.075413856529736,460,651,55,120,0.2820355610055181,0.39914163090128757,120.85454545454546
DEN,1596,5292,3.3157894736842106,447,540,44,106,0.2800751879699248,0.3383458646616541,120.27272727272727
DET,1658,7005,4.22496984318456,480,623,65,96,0.28950542822677927,0.37575392038600725,107.76923076923077
GB,1569,6222,3.9655831739961758,437,605,45,103,0.278521351179095,0.38559592096876993,138.26666666666668
HOU,1629,6265,3.845917740945365,445,621,47,112,0.27317372621240027,0.3812154696132597,133.29787234042553
IND,1668,5959,3.5725419664268587,480,606,41,105,0.28776978417266186,0.36330935251798563,145.34146341463415
JAX,1671,6032,3.6098144823459006,433,656,41,114,0.25912627169359664,0.39257929383602636,147.1219512195122
KC,1584,6538,4.127525252525253,397,664,46,120,0.25063131313131315,0.41919191919191917,142.1304347826087
LA,1638,6472,3.9511599511599513,480,614,51,103,0.29304029304029305,0.37484737484737485,126.90196078431373
LAC,1627,5817,3.5752919483712353,424,665,41,98,0.2606023355869699,0.4087277197295636,141.8780487804878
LV,1507,5240,3.4771068347710683,403,575,37,82,0.26741871267418715,0.38155275381552756,141.6216216216216
MIA,1584,7390,4.665404040404041,447,586,66,114,0.2821969696969697,0.369949494949495,111.96969696969697
MIN,1570,6436,4.099363057324841,385,666,41,131,0.24522292993630573,0.42420382165605097,156.97560975609755
NE,1532,5374,3.5078328981723237,417,571,33,82,0.27219321148825065,0.3727154046997389,162.84848484848484
NO,1638,6090,3.717948717948718,463,627,45,99,0.28266178266178266,0.38278388278388276,135.33333333333334
NYG,1579,5178,3.279290690310323,461,531,29,104,0.29195693476884105,0.3362887903736542,178.55172413793105
NYJ,1610,5098,3.1664596273291927,384,631,24,126,0.23850931677018633,0.3919254658385093,212.41666666666666
PHI,1635,6343,3.8795107033639145,508,584,51,103,0.3107033639143731,0.35718654434250763,124.37254901960785
PIT,1550,5580,3.6,467,533,29,79,0.30129032258064514,0.3438709677419355,192.41379310344828
SEA,1526,5801,3.8014416775884667,375,608,37,121,0.24574049803407602,0.3984272608125819,156.78378378378378
SF,1552,7076,4.559278350515464,483,515,61,101,0.31121134020618557,0.3318298969072165,116.0
TB,1567,5632,3.5941289087428205,426,603,37,111,0.27185705169112956,0.38481174218251435,152.21621621621622
TEN,1547,5100,3.2967032967032965,421,526,34,120,0.27213962508080153,0.3400129282482224,150.0
WAS,1589,5677,3.5726872246696035,360,669,47,100,0.22655758338577722,0.421019509125236,120.7872340425532
